(theta,phi,r)
(166.0,356.109375,3.281)
(167.0,32.21875,8.16)
(167.0,32.34375,7.468)
(167.0,33.96875,6.373)
(167.0,74.46875,5.069000000000001)
(167.0,74.59375,4.274333333333334)
(167.0,74.71875,3.590777777777777)
(167.0,74.84375,3.0947999999999998)
(167.0,74.96875,2.891)
(167.0,112.53125,2.38925)
(167.0,112.65625,2.228111111111111)
(167.0,112.78125,2.151)
(167.0,115.40625,0.937)
(167.0,154.75,2.110333333333333)
(167.0,154.875,2.0578888888888884)
(167.0,155.5,2.245)
(167.0,192.015625,2.787)
(167.0,192.140625,2.3819999999999997)
(167.0,192.390625,1.9966000000000002)
(167.0,192.515625,1.8230000000000002)
(167.0,192.640625,1.7565)
(167.0,193.015625,2.2383333333333333)
(167.0,233.53125,5.764)
(167.0,233.65625,5.405833333333334)
(167.0,234.03125,2.940555555555556)
(167.0,234.15625,2.8816666666666664)
(167.0,235.15625,4.101)
(167.0,313.59375,2.819)
(167.0,313.71875,2.733)
(167.0,355.328125,4.935857142857143)
(167.0,355.453125,4.22)
(167.0,355.578125,3.593166666666667)
(167.0,355.703125,3.299666666666667)
(168.0,32.09375,8.24525)
(168.0,32.21875,7.977666666666667)
(168.0,33.84375,6.279)
(168.0,74.5,5.067333333333334)
(168.0,74.625,4.208714285714286)
(168.0,74.75,3.526777777777778)
(168.0,74.875,3.069222222222222)
(168.0,75.0,2.833)
(168.0,112.34375,2.3578)
(168.0,112.46875,2.223555555555556)
(168.0,113.21875,2.151)
(168.0,154.8125,2.035)
(168.0,154.9375,2.060111111111111)
(168.0,155.5625,2.2163333333333335)
(168.0,191.8125,2.753)
(168.0,191.9375,2.4325)
(168.0,192.1875,1.9154)
(168.0,192.3125,1.973)
(168.0,192.4375,1.805)
(168.0,192.5625,1.6720000000000002)
(168.0,192.8125,1.779)
(168.0,233.578125,5.793)
(168.0,233.703125,5.447000000000001)
(168.0,234.078125,2.9675)
(168.0,234.203125,2.847)
(168.0,313.546875,2.809)
(168.0,313.671875,2.7308)
(168.0,355.359375,5.0136666666666665)
(168.0,355.484375,4.239181818181819)
(168.0,355.609375,3.5850000000000004)
(168.0,355.734375,3.289)
(169.0,31.21875,8.245827586206897)
(169.0,31.34375,8.069666666666667)
(169.0,74.046875,5.155666666666667)
(169.0,74.171875,4.265571428571429)
(169.0,74.296875,3.5843333333333334)
(169.0,74.421875,3.1025)
(169.0,74.546875,2.8810000000000002)
(169.0,111.453125,2.3897272727272725)
(169.0,111.578125,2.209888888888889)
(169.0,111.703125,2.157)
(169.0,114.328125,0.961)
(169.0,154.1875,2.076)
(169.0,154.3125,2.04675)
(169.0,154.9375,2.1518)
(169.0,191.03125,2.3)
(169.0,191.15625,2.289)
(169.0,191.28125,1.9623333333333333)
(169.0,191.40625,1.8250000000000002)
(169.0,191.53125,1.7263333333333335)
(169.0,191.90625,1.9546666666666666)
(169.0,233.0,5.37)
(169.0,233.375,3.0024666666666664)
(169.0,233.5,2.799181818181818)
(169.0,234.5,4.239)
(169.0,312.890625,2.73325)
(169.0,355.078125,4.968999999999999)
(169.0,355.203125,4.159923076923077)
(169.0,355.328125,3.515727272727273)
(169.0,355.453125,3.277)
(170.0,31.703125,8.392586206896553)
(170.0,31.828125,8.383)
(170.0,74.40625,4.938000000000001)
(170.0,74.53125,4.18675)
(170.0,74.65625,3.48625)
(170.0,74.78125,3.1470000000000002)
(170.0,74.90625,2.9040000000000004)
(170.0,111.734375,2.457)
(170.0,111.859375,2.3785555555555558)
(170.0,111.984375,2.215222222222222)
(170.0,112.109375,2.165)
(170.0,112.734375,2.139)
(170.0,154.546875,2.0883333333333334)
(170.0,154.671875,2.0450000000000004)
(170.0,154.796875,1.763)
(170.0,155.296875,2.1957999999999998)
(170.0,191.40625,2.42)
(170.0,191.53125,2.2055)
(170.0,191.65625,1.903)
(170.0,191.78125,1.878)
(170.0,191.90625,1.7185000000000001)
(170.0,192.03125,1.669)
(170.0,192.28125,1.867)
(170.0,233.609375,3.267)
(170.0,233.734375,3.0538571428571433)
(170.0,233.859375,2.7860588235294115)
(170.0,313.21875,2.813)
(170.0,313.34375,2.7297999999999996)
(170.0,355.390625,4.920714285714285)
(170.0,355.515625,4.136846153846154)
(170.0,355.640625,3.5194444444444444)
(170.0,355.765625,3.315666666666667)
(171.0,31.96875,8.5146)
(171.0,33.71875,6.529)
(171.0,74.390625,5.091666666666667)
(171.0,74.515625,4.1565)
(171.0,74.640625,3.5312857142857146)
(171.0,74.765625,3.111)
(171.0,74.890625,2.843)
(171.0,112.21875,2.3990000000000005)
(171.0,112.34375,2.231095238095238)
(171.0,112.46875,2.1479999999999997)
(171.0,154.53125,2.367)
(171.0,154.65625,2.1655)
(171.0,154.78125,2.064142857142857)
(171.0,154.90625,1.809)
(171.0,155.03125,1.7863333333333333)
(171.0,155.40625,1.9945000000000002)
(171.0,191.953125,2.2315)
(171.0,192.203125,1.845)
(171.0,192.328125,1.7881999999999998)
(171.0,192.453125,1.619)
(171.0,192.578125,1.611)
(171.0,192.703125,2.0355)
(171.0,233.875,3.002466666666666)
(171.0,234.0,2.731875)
(171.0,234.125,2.629)
(171.0,313.375,2.809)
(171.0,313.5,2.7320967741935487)
(171.0,355.296875,4.926428571428572)
(171.0,355.421875,4.141)
(171.0,355.546875,3.5490000000000004)
(171.0,355.671875,3.317)
(172.0,31.046875,8.60448387096774)
(172.0,31.171875,8.039)
(172.0,73.984375,5.079000000000001)
(172.0,74.109375,4.14875)
(172.0,74.234375,3.512428571428571)
(172.0,74.359375,3.081222222222222)
(172.0,74.484375,2.855)
(172.0,111.234375,2.399888888888889)
(172.0,111.359375,2.2293809523809522)
(172.0,112.109375,2.135)
(172.0,154.125,2.088)
(172.0,154.25,2.087666666666667)
(172.0,154.375,1.8170000000000002)
(172.0,154.5,1.815)
(172.0,154.875,2.152)
(172.0,190.6875,2.324)
(172.0,190.8125,2.139666666666667)
(172.0,190.9375,2.105)
(172.0,191.0625,1.8375714285714284)
(172.0,191.1875,1.728)
(172.0,191.3125,1.6335)
(172.0,191.4375,1.555)
(172.0,191.5625,1.8630000000000002)
(172.0,233.265625,2.9975)
(172.0,233.390625,2.7081428571428576)
(172.0,233.515625,2.5603333333333333)
(172.0,312.609375,2.809)
(172.0,312.734375,2.7294516129032256)
(172.0,354.953125,4.945333333333333)
(172.0,355.078125,4.2250000000000005)
(172.0,355.203125,3.597769230769231)
(172.0,355.328125,3.3236666666666665)
(173.0,31.765625,8.747774193548388)
(173.0,31.890625,8.417)
(173.0,74.671875,5.037)
(173.0,74.796875,4.182142857142858)
(173.0,74.921875,3.571857142857143)
(173.0,75.046875,3.1000909090909095)
(173.0,75.171875,2.859)
(173.0,111.921875,2.3812)
(173.0,112.046875,2.212578947368421)
(173.0,112.171875,2.150333333333333)
(173.0,154.8125,2.116)
(173.0,154.9375,2.0913333333333335)
(173.0,155.0625,1.823)
(173.0,155.1875,1.777)
(173.0,155.5625,2.307)
(173.0,191.578125,2.1796666666666664)
(173.0,191.703125,1.9980000000000002)
(173.0,191.828125,1.8706666666666667)
(173.0,191.953125,1.7243333333333333)
(173.0,192.078125,1.702)
(173.0,192.203125,1.621)
(173.0,192.328125,1.9896666666666665)
(173.0,233.984375,2.93725)
(173.0,234.109375,2.684375)
(173.0,234.234375,2.5492500000000002)
(173.0,313.34375,2.821)
(173.0,313.46875,2.728466666666667)
(173.0,355.71875,4.941000000000001)
(173.0,355.84375,4.134636363636363)
(173.0,355.96875,3.516)
(173.0,356.09375,3.449)
(174.0,32.15625,8.817312499999996)
(174.0,74.640625,4.9515714285714285)
(174.0,74.765625,4.2174000000000005)
(174.0,74.890625,3.576555555555555)
(174.0,75.015625,3.106)
(174.0,75.140625,2.8983333333333334)
(174.0,112.40625,2.3862500000000004)
(174.0,112.53125,2.2190952380952376)
(174.0,112.65625,2.1636666666666664)
(174.0,154.875,2.1203333333333334)
(174.0,155.0,2.112)
(174.0,155.125,1.8376666666666666)
(174.0,155.25,1.7916666666666667)
(174.0,155.625,2.241)
(174.0,192.21875,2.145)
(174.0,192.34375,1.9398000000000004)
(174.0,192.46875,1.872)
(174.0,192.59375,1.7650000000000001)
(174.0,192.71875,1.6343333333333334)
(174.0,192.96875,1.9196666666666669)
(174.0,234.109375,2.9298571428571427)
(174.0,234.234375,2.651117647058824)
(174.0,234.359375,2.52225)
(174.0,313.609375,2.837)
(174.0,313.734375,2.733064516129032)
(174.0,355.546875,4.961857142857143)
(174.0,355.671875,4.154)
(174.0,355.796875,3.5484545454545455)
(174.0,355.921875,3.325)
(175.0,31.921875,8.8154375)
(175.0,74.453125,5.079666666666666)
(175.0,74.578125,4.17675)
(175.0,74.703125,3.527)
(175.0,74.828125,3.115)
(175.0,74.953125,2.8683333333333336)
(175.0,112.15625,2.381666666666667)
(175.0,112.28125,2.2112727272727275)
(175.0,112.40625,2.159)
(175.0,154.6875,2.126)
(175.0,154.8125,2.1363333333333334)
(175.0,154.9375,1.834)
(175.0,155.4375,1.7463333333333333)
(175.0,191.859375,2.089)
(175.0,191.984375,1.9987142857142857)
(175.0,192.109375,1.8846666666666667)
(175.0,192.234375,1.651)
(175.0,192.359375,1.6166)
(175.0,192.609375,1.9180000000000001)
(175.0,233.90625,2.847)
(175.0,234.03125,2.7110000000000003)
(175.0,234.15625,2.4851428571428573)
(175.0,313.375,2.824)
(175.0,313.5,2.728133333333333)
(175.0,355.359375,5.0)
(175.0,355.484375,4.232636363636364)
(175.0,355.609375,3.5803846153846144)
(175.0,355.734375,3.2889999999999997)
(176.0,31.640625,8.658923076923076)
(176.0,33.390625,8.626000000000001)
(176.0,74.34375,5.0081428571428575)
(176.0,74.46875,4.121285714285714)
(176.0,74.59375,3.608)
(176.0,74.71875,3.1714999999999995)
(176.0,74.84375,2.9010000000000002)
(176.0,111.765625,2.3768)
(176.0,111.890625,2.2164285714285716)
(176.0,112.015625,2.149)
(176.0,154.625,2.1572857142857145)
(176.0,154.75,2.171)
(176.0,154.875,1.8013333333333332)
(176.0,155.375,1.9283333333333335)
(176.0,191.34375,2.141)
(176.0,191.46875,2.039444444444444)
(176.0,191.84375,1.6065999999999998)
(176.0,191.96875,1.5843333333333334)
(176.0,192.09375,1.8486)
(176.0,233.796875,2.841)
(176.0,233.921875,2.710833333333333)
(176.0,234.046875,2.457421052631579)
(176.0,313.3125,2.7336250000000004)
(176.0,355.28125,4.987333333333333)
(176.0,355.40625,4.232090909090909)
(176.0,355.53125,3.571153846153846)
(176.0,355.65625,3.285)
(177.0,32.078125,8.414)
(177.0,32.203125,7.772499999999999)
(177.0,33.828125,8.2145)
(177.0,74.15625,5.072)
(177.0,74.28125,4.182777777777777)
(177.0,74.40625,3.5510000000000006)
(177.0,74.53125,3.0924)
(177.0,74.65625,2.889)
(177.0,112.40625,2.3655999999999997)
(177.0,112.53125,2.209)
(177.0,112.65625,2.149)
(177.0,154.359375,2.219)
(177.0,154.484375,2.1603333333333334)
(177.0,154.609375,2.009)
(177.0,154.734375,1.827)
(177.0,154.859375,1.769)
(177.0,155.234375,1.7469999999999999)
(177.0,192.21875,2.089)
(177.0,192.34375,1.9817500000000003)
(177.0,192.46875,1.9089999999999998)
(177.0,192.59375,1.5979999999999999)
(177.0,192.71875,1.6433333333333333)
(177.0,192.84375,1.585)
(177.0,192.96875,1.851)
(177.0,234.015625,2.7209999999999996)
(177.0,234.140625,2.4572857142857143)
(177.0,234.265625,2.333)
(177.0,313.609375,2.7350000000000008)
(177.0,354.984375,4.901666666666666)
(177.0,355.109375,4.172538461538461)
(177.0,355.234375,3.5286)
(177.0,355.359375,3.3063333333333333)
(178.0,32.6875,8.394391304347824)
(178.0,32.8125,8.025)
(178.0,34.4375,8.189)
(178.0,74.796875,5.087)
(178.0,74.921875,4.194333333333335)
(178.0,75.046875,3.485)
(178.0,75.171875,3.141666666666667)
(178.0,75.296875,2.875666666666666)
(178.0,113.0625,2.3701111111111106)
(178.0,113.1875,2.2096315789473686)
(178.0,113.3125,2.151)
(178.0,155.09375,2.189)
(178.0,155.21875,2.165)
(178.0,155.34375,1.794)
(178.0,155.46875,1.801)
(178.0,155.84375,1.891)
(178.0,193.015625,1.9985)
(178.0,193.140625,2.024)
(178.0,193.265625,1.547)
(178.0,193.390625,1.591)
(178.0,193.515625,1.567)
(178.0,193.640625,1.9482)
(178.0,234.5625,2.6653636363636366)
(178.0,234.6875,2.4434)
(178.0,234.8125,2.3190000000000004)
(178.0,314.1875,2.7376875000000003)
(178.0,355.59375,4.926500000000001)
(178.0,355.71875,4.122636363636364)
(178.0,355.84375,3.5424545454545453)
(178.0,355.96875,3.315)
(179.0,32.78125,8.350999999999999)
(179.0,34.53125,8.143)
(179.0,74.671875,5.040333333333333)
(179.0,74.796875,4.179)
(179.0,74.921875,3.507888888888889)
(179.0,75.046875,3.1027142857142853)
(179.0,75.171875,2.861)
(179.0,113.109375,2.3785)
(179.0,113.234375,2.2066363636363633)
(179.0,113.359375,2.147)
(179.0,155.046875,2.1878)
(179.0,155.171875,2.149)
(179.0,155.296875,1.791)
(179.0,155.421875,1.767)
(179.0,155.796875,2.049)
(179.0,192.9375,2.1109999999999998)
(179.0,193.0625,1.979)
(179.0,193.3125,1.671)
(179.0,193.4375,1.5675)
(179.0,193.5625,1.5519999999999998)
(179.0,193.6875,2.0466)
(179.0,234.546875,2.6262499999999998)
(179.0,234.671875,2.394875)
(179.0,234.796875,2.2889999999999997)
(179.0,314.203125,2.7383125)
(179.0,355.421875,4.915000000000001)
(179.0,355.546875,4.1262)
(179.0,355.671875,3.6071999999999997)
(179.0,355.796875,3.3255)
(180.0,32.0625,8.109842105263157)
(180.0,32.1875,7.582999999999999)
(180.0,33.8125,7.895666666666666)
(180.0,74.34375,5.101666666666667)
(180.0,74.46875,4.225857142857143)
(180.0,74.59375,3.5881428571428566)
(180.0,74.71875,3.1378)
(180.0,74.84375,2.857)
(180.0,112.4375,2.3602000000000003)
(180.0,112.5625,2.2141578947368417)
(180.0,112.6875,2.1670000000000003)
(180.0,154.65625,2.1858)
(180.0,154.78125,2.173)
(180.0,154.90625,1.813)
(180.0,155.03125,1.742)
(180.0,155.40625,2.227)
(180.0,192.234375,2.2039999999999997)
(180.0,192.359375,2.066)
(180.0,192.609375,1.6816666666666666)
(180.0,192.734375,1.5695)
(180.0,192.859375,1.5454999999999999)
(180.0,192.984375,1.8976666666666668)
(180.0,234.046875,2.6275)
(180.0,234.171875,2.3871666666666664)
(180.0,234.296875,2.2791428571428574)
(180.0,313.578125,2.7356875000000005)
(180.0,355.21875,4.916714285714285)
(180.0,355.34375,4.13)
(180.0,355.46875,3.504)
(180.0,355.59375,3.261)
